NDVI,dNDVI,dNBR,RESULT
0.22338312753648218,-0.040262372194424856,-0.09406400800437525,YES
0.3578030303030303,-0.05488814495518729,-0.14843879792253273,YES
0.2756743481642176,-0.006674080958048945,0.04661425477692008,YES
0.2551082514563951,-0.02831357547996044,-0.045043024525690784,YES
0.2586319218241042,0.061890636280103606,0.038710509881913685,YES
0.2144234932881943,0.1252021412295722,0.20101833065350874,YES
0.25861594686996503,0.005728874444939025,0.03832826822415361,YES
0.2630422844590884,0.07146985185340154,0.1168605138599223,YES
0.24811574114181756,0.028635058715985484,0.02988833167935298,YES
0.292327825944708,0.02652373010045861,-0.021595101574459874,YES
0.2906847166618515,0.05200619834689579,0.06729453800681862,YES
0.3478869509288336,-0.08895371055930246,-0.060685760275303174,YES
0.30029479722731256,0.08854187401843971,0.10019376884527342,YES
0.3155246471671098,-0.08728797891876147,-0.16576139751536706,YES
0.3083967496452986,0.04760219027065188,0.04660459285153096,YES
0.3846600391843843,-0.17135265476107434,-0.2151643980688109,YES
0.29754126547455295,-0.08002937957914882,-0.07755910322243972,YES
0.2168601669231128,0.06777274859047991,0.05490253742095638,YES
0.26103145730793925,0.03157433155470535,0.0352655232126734,YES
0.24771129096457475,0.048647081730838954,0.012199495829259499,YES
0.22451197970922596,0.04690715251307784,0.008476768908498522,YES
0.2525217391304348,-0.002906542223876263,-0.04406657469107636,YES
0.247851066672605,0.0377599239275396,-0.019229070142698812,YES
0.25108017282765244,0.07149335658411227,0.05778323560441581,YES
0.25074522181308084,0.06974068100635528,0.06336110562820202,YES
0.27380594127509567,0.06657797759487899,0.05668482286851456,YES
0.27429379741952076,0.049718630454425095,0.03360752731173006,YES
0.21689790240509574,0.0877613007559184,0.17257355984765593,YES
0.20544692219212646,0.11038257550649272,0.1792659347779875,YES
0.2134610288829163,0.11328601736894872,0.1390955191690696,YES
0.20250882007056056,0.09866714742997398,0.13281396175052845,YES
0.19605668515095503,0.0960527331906999,0.08944799067617479,YES
0.1900635470826112,0.14641703830627112,0.11292366667020595,YES
0.2267299264203289,0.06644658486566951,0.07461780958913014,YES
0.25702858487236796,-0.02170949615013787,0.0005134851200873092,YES
0.24686260883783673,0.03866788262798365,0.03386691508439535,YES
0.2649134060295061,0.017679170408754497,0.014802470924687783,YES
0.29353395689304596,-0.018095282070525076,-0.0013729510441557735,YES
0.2787358692961465,0.0326135649210465,0.046383909924488015,YES
0.25322976287816845,0.09277904909341095,0.12211206724492918,YES
0.19542311491603556,0.13268210094803337,0.18445608194820393,YES
0.19820302518237645,0.030885765535619558,0.14180973508332584,YES
0.16828976593200068,0.10677613716771756,0.2323642403297835,YES
0.16371406907010408,0.05429774195351797,0.19006261070694289,YES
0.14311554880254684,0.12219426576099907,0.23982496700215342,YES
0.14528866058422144,0.14526451675670374,0.19754906112158577,YES
0.18310571573090542,0.09681539853015705,0.07916663616365954,YES
0.23406351853255514,0.05985908872149848,0.09008758197187192,YES
0.2171426203009077,0.07102987289565921,0.09050667161092318,YES
0.23206850498860868,0.06150753927375566,0.09361577794355347,YES
0.20226872077872307,0.07751708912756874,0.11392090546974996,YES
0.1774954047790298,0.09874556319736938,0.1000019015254276,YES
0.19310919699916643,0.09156414903047669,0.15478277312516914,YES
0.21293617021276595,0.07076903043061261,0.08086900440074421,YES
0.20931489572541778,0.09901375257592349,0.06319466685828662,YES
0.21591164189826248,0.07247081183717277,0.056198768436224955,YES
0.3039367576371509,0.023329326662181515,-0.02018911446450597,YES
0.3127344444874125,0.019566044392295534,0.007679227194732852,YES
0.3288672817057765,-0.014092584998670776,0.009930368687071034,YES
